event_type,timestamp,user_id,event_id,metadata,source,error_reason
scroll,,1870,,fast scroll through page,desktop_app,invalid_timestamp;missing_event_id
scroll,2026-06-22T23:19:25,,evt_000174,"slow scroll, reading carefully",mobile_ios,missing_user_id
search,,897,evt_000175,searched for shoes,desktop_app,missing_timestamp
page_view,,838,evt_000176,opened page then immediately left,mobile_android,missing_timestamp
page_view,2026-06-17T02:47:36,,evt_000179,,web,missing_user_id
search,,7205,evt_000181,search query: headphones,mobile_ios,missing_timestamp
add_to_cart,2026-06-24T23:51:17,6994,,,api_v2,missing_event_id
page_view,,7083,evt_000188,viewed product page,web,missing_timestamp
scroll,,967,evt_000190,"slow scroll, reading carefully",desktop_app,missing_timestamp
search,,378,evt_000192,typo in search query,tablet,missing_timestamp
scroll,,6683,evt_000193,scrolled down,unknown_source,missing_timestamp
,2026-06-21T07:41:00,3185,evt_000199,viewed product page,web,missing_event_type
add_to_cart,,2980,evt_000205,added product to shopping cart,web,invalid_timestamp
,2026-06-15T20:17:28,7372,evt_000206,,unknown_source,invalid_event_type
add_to_cart,2026-06-24T05:04:35,7882,,add to cart clicked,direct,missing_event_id
scroll,2026-06-26T13:16:44,2659,,barely scrolling,mobil,missing_event_id
page_view,2026-06-15T20:21:47,3258,evt_000213,landed on homepage,desktop_app,duplicate_event
purchase,2026-06-16T19:31:49,8818,evt_000216,purchase??,web,duplicate_event
,2026-06-18T22:41:26,8880,evt_000223,landed on homepage,web,missing_event_type
,2026-06-25T05:37:40,2291,evt_000226,added same item twice,hsearch,missing_event_type
search,,4977,evt_000235,,WEB,missing_timestamp
page_view,2026-06-25T02:00:45,2573,evt_000240,viewed product page,api_v2,duplicate_event
page_view,2026-06-26T05:14:06,,evt_000242,opened page then immediately left,email,missing_user_id
scroll,,8505,evt_000249,scrolled down,web,invalid_timestamp
add_to_cart,2026-06-16T06:00:18,8384,,added product to shopping cart,web,missing_event_id
purchase,2026-06-18T13:36:39,4809,,checkout finished,mobile_ios,missing_event_id
,2026-06-19T23:59:10,9257,evt_000252,,mobile_ios,invalid_event_type
scroll,,5452,evt_000253,fast scroll through page,,missing_timestamp
,2026-06-24T05:50:34,4641,evt_000259,,web,invalid_event_type
,2026-06-19T20:03:03,7440,evt_000268,removed item from cart,,missing_event_type
page_view,,3438,evt_000269,landed on homepage,email,missing_timestamp
page_view,2026-06-23T20:31:44,,evt_000271,viewed product page,,missing_user_id
add_to_cart,,9489,evt_000275,added then removed item quickly,desktop_app,missing_timestamp
,2026-06-17T05:25:40,2980,evt_000279,,mobil,invalid_event_type
scroll,2026-06-15T11:29:48,2412,,scrolled down,web,missing_event_id
Purchase,2026-06-16T22:27:40,6087,evt_000287,purchase completed,mobil,duplicate_event
remove_from_cart,2026-06-22T20:58:53,4397,,removed product,web,missing_event_id
scroll,2026-06-22T21:11:25,8389,,fast scroll through page,api_v2,missing_event_id
,2026-06-19T08:58:49,9623,evt_000311,viewed product page,unknown_source,missing_event_type
scroll,2026-06-25T14:37:00,3543,,barely scrolling,tablet,missing_event_id
,2026-06-17T22:30:21,1116,evt_000322,barely scrolling,mobile_ios,missing_event_type
scroll,,761,evt_000325,fast scroll through page,web,invalid_timestamp
,2026-06-24T23:10:26,6523,evt_000334,scrolled down,unknown_source,missing_event_type
page_view,,7491,evt_000340,Page loaded,desktop_app,missing_timestamp
,,5319,evt_000344,,mobile_ios,missing_event_type;missing_timestamp
page_view,2026-06-20T09:42:46,6346,evt_000346,Page loaded,unknown_source,duplicate_event
page_view,2026-06-22T12:46:02,,evt_000349,opened pricing page,,missing_user_id
,2026-06-19T01:53:03,1224,evt_000353,scrolled down,web,missing_event_type
page_view,2026-06-16T22:48:24,,evt_000359,landed on homepage,mobil,missing_user_id
add_to_cart,2026-06-26T16:54:03,9872,,added item to cart,WEB,missing_event_id
page_view,2026-06-26T03:05:49,8987,,landed on homepage,email,missing_event_id
,2026-06-17T03:25:15,,evt_000378,purchase completed,web,missing_event_type;missing_user_id
search,,2527,evt_000382,looked up return policy,web,missing_timestamp
,,3023,,,web,invalid_event_type;missing_timestamp;missing_event_id
page_view,2026-06-18T15:49:50,,evt_000388,,desktop_app,missing_user_id
remove_from_cart,2026-06-22T18:10:57,7294,evt_000389,item removed unexpectedly,,duplicate_event
page_view,,139,evt_000390,opened pricing page,web,missing_timestamp
page_view,2026-06-23T03:34:01,447,,landed on homepage,,missing_event_id
,2026-06-22T13:54:29,6525,evt_000395,landed on homepage,web,missing_event_type
add_to_cart,,9335,evt_000396,added then removed item quickly,tablet,invalid_timestamp
page_view,,5922,evt_000397,viewed product page,mobile_ios,missing_timestamp
scroll,2026-06-19T15:54:11,,evt_000400,,,missing_user_id
search,,8020,evt_000403,search query: headphones,mobile_android,invalid_timestamp
page_view,2026-06-22T12:07:48,4819,,Page loaded,web,missing_event_id
page_view,2026-06-19T20:48:02,,evt_000406,landed on homepage,web,missing_user_id
scroll,,5546,evt_000407,scrolled down,mobil,missing_timestamp
scroll,2026-06-20T00:56:38,8932,,user flicked page aggresively,unknown_source,missing_event_id
scroll,2026-06-15T14:07:00,,evt_000417,user flicked page aggresively,mobil,missing_user_id
page_view,,7911,evt_000421,viewed product page,mobile_ios,invalid_timestamp
page_view,2026-06-25T02:47:47,,evt_000423,viewed product page,api_v2,missing_user_id
page_view,2026-06-23T13:18:28,6031,evt_000428,landed on homepage,mobile_ios,duplicate_event
scroll,,1748,evt_000429,scroll spam,desktop_app,missing_timestamp
,2026-06-18T09:54:06,6804,evt_000438,,web,invalid_event_type
search,,9442,evt_000440,,,missing_timestamp
scroll,,5617,evt_000443,scroll spam,hsearch,missing_timestamp
purchase,2026-06-16T01:25:35,3346,,checkout finished,unknown_source,missing_event_id
,2026-06-20T13:26:36,,evt_000456,,mobil,invalid_event_type;missing_user_id
add_to_cart,2026-06-25T04:55:58,,evt_000458,,web,missing_user_id
page_view,2026-06-18T10:28:09,4690,,viewed product page,,missing_event_id
search,2026-06-24T00:25:26,,evt_000472,search query: headphones,desktop_app,missing_user_id
scroll,2026-06-20T20:50:04,,evt_000475,fast scroll through page,mobil,missing_user_id
page_view,,3813,evt_000486,viewed product page,web,missing_timestamp
,2026-06-17T21:50:08,9483,evt_000490,opened page then immediately left,email,missing_event_type
page_view,,730,evt_000492,Page loaded,desktop_app,missing_timestamp
,2026-06-22T19:25:46,6340,evt_000493,,web,invalid_event_type
,2026-06-18T04:08:04,,evt_000496,payment successful,,missing_event_type;missing_user_id
,2026-06-24T18:44:19,8131,evt_000498,search query: headphones,tablet,missing_event_type
search,2026-06-20T11:55:50,2874,,searched for shoes,,missing_event_id
,,5139,evt_000501,added product to shopping cart,tablet,missing_event_type;invalid_timestamp
page_view,2026-06-25T10:34:36,2956,evt_000515,user stared at page for a while,web,duplicate_event
search,,3236,evt_000517,looked up return policy,unknown_source,missing_timestamp
page_view,2026-06-17T18:03:41,8537,,accidentally opened page,web,missing_event_id
add_to_cart,2026-06-17T10:29:29,3227,,add to cart clicked,unknown_source,missing_event_id
purchase,2026-06-22T04:39:41,8975,evt_000533,purchase completed,desktop_app,duplicate_event
ADD_TO_CART,2026-06-25T14:07:34,5207,evt_000539,added product to shopping cart,hsearch,duplicate_event
purchase,2026-06-25T06:18:01,2114,,payment successful,web,missing_event_id
,2026-06-25T20:10:23,5609,evt_000543,viewed product page,email,missing_event_type
search,2026-06-21T13:15:27,8836,,looked up return policy,WEB,missing_event_id
page_view,,4823,evt_000553,,mobil,missing_timestamp
,2026-06-22T13:56:50,3548,evt_000560,looked up return policy,unknown_source,missing_event_type
scroll,2026-06-18T23:31:53,,evt_000561,scrolling endlessly,unknown_source,missing_user_id
,2026-06-17T22:50:54,3507,evt_000567,landed on homepage,web,missing_event_type
page_view,2026-06-20T02:12:19,,evt_000569,page refresh loop??,web,missing_user_id
scroll,,8510,evt_000570,"slow scroll, reading carefully",WEB,invalid_timestamp
page_view,2026-06-22T04:39:21,9559,evt_000573,PAGE_VIEW,unknown_source,duplicate_event
,2026-06-26T08:50:44,618,evt_000577,,email,invalid_event_type
,2026-06-15T13:06:21,497,evt_000582,purchase??,api_v2,missing_event_type
,2026-06-16T00:57:06,1235,evt_000586,,mobile_ios,invalid_event_type
scroll,,8370,evt_000588,scrolled down,,missing_timestamp
add_to_cart,2026-06-20T07:53:13,9916,,added item to cart,mobil,missing_event_id
scroll,,7656,evt_000621,"slow scroll, reading carefully",web,missing_timestamp
purchase,2026-06-21T11:59:49,,evt_000626,checkout finished,email,missing_user_id
page_view,,7952,evt_000633,viewed product page,web,invalid_timestamp
page_view,,3805,evt_000634,,web,missing_timestamp
page_view,2026-06-26T16:51:02,,evt_000636,viewed product page,desktop_app,missing_user_id
,2026-06-19T23:56:20,1365,evt_000640,,desktop_app,invalid_event_type
,2026-06-15T20:46:37,8621,evt_000644,opened pricing page,email,missing_event_type
scroll,2026-06-24T15:35:02,5525,evt_000645,fast scroll through page,email,duplicate_event
scroll,,4421,evt_000647,barely scrolling,web,missing_timestamp
page_view,2026-06-16T09:00:54,7698,evt_000648,accidentally opened page,,duplicate_event
scroll,2026-06-15T14:26:40,5804,,fast scroll through page,web,missing_event_id
scroll,,3696,evt_000653,scrolled down,web,missing_timestamp
scroll,,3696,evt_000653,scrolled down,web,duplicate_event
page_view,,2749,evt_000655,landed on homepage,email,invalid_timestamp
scroll,,581,evt_000656,,desktop_app,invalid_timestamp
scroll,2026-06-16T00:54:15,6930,,scrolling endlessly,web,missing_event_id
remove_from_cart,,4006,evt_000661,removed item from cart,unknown_source,invalid_timestamp
,2026-06-18T10:47:25,4189,evt_000664,remove clicked,tablet,missing_event_type
add_to_cart,2026-06-16T12:26:53,,evt_000665,added item to cart,mobile_ios,missing_user_id
scroll,2026-06-20T12:55:33,,evt_000666,scrolled down,unknown_source,missing_user_id
remove_from_cart,2026-06-26T10:37:47,4261,,removed item from cart,desktop_app,missing_event_id
page_view,2026-06-15T16:12:57,604,,viewed product page,mobile_ios,missing_event_id
,,5616,evt_000682,Page loaded,mobil,missing_event_type;missing_timestamp
page_view,2026-06-19T23:43:34,754,,opened pricing page,web,missing_event_id
,2026-06-16T00:22:54,9216,evt_000703,opened page then immediately left,,missing_event_type
page_view,2026-06-24T17:45:53,,evt_000711,opened pricing page,web,missing_user_id
,2026-06-19T20:08:37,,evt_000714,opened pricing page,,missing_event_type;missing_user_id
scroll,2026-06-15T10:09:21,,evt_000717,barely scrolling,email,missing_user_id
,2026-06-25T06:53:48,2187,evt_000718,,,invalid_event_type
,2026-06-24T08:19:30,7159,,,web,invalid_event_type;missing_event_id
,,4510,evt_000725,,tablet,invalid_event_type;invalid_timestamp
,2026-06-19T02:53:12,6234,evt_000726,,web,invalid_event_type
,2026-06-18T02:29:23,5327,evt_000731,cart cleaned,web,missing_event_type
scroll,,9364,evt_000747,fast scroll through page,web,invalid_timestamp
remove_from_cart,2026-06-18T16:54:58,,evt_000749,remove clicked,unknown_source,missing_user_id
search,,1942,evt_000760,,mobil,invalid_timestamp
page_view,2026-06-18T22:35:13,,evt_000764,landed on homepage,web,missing_user_id
page_view,,8761,evt_000765,landed on homepage,api_v2,missing_timestamp
page_view,2026-06-15T04:18:43,5610,evt_000768,accidentally opened page,mobile_ios,duplicate_event
search,2026-06-19T22:20:35,6131,,looked up return policy,tablet,missing_event_id
scroll,,4161,evt_000770,fast scroll through page,mobile_ios,missing_timestamp
add_to_cart,,334,evt_000773,added item to cart,api_v2,missing_timestamp
page_view,2026-06-21T04:11:10,2848,,opened pricing page,web,missing_event_id
page_view,,2616,evt_000780,viewed product page,,missing_timestamp
search,,9374,evt_000786,looked up return policy,mobile_android,missing_timestamp
add_to_cart,,7459,evt_000790,added product to shopping cart,web,missing_timestamp
page_view,2026-06-16T19:35:59,,evt_000795,Page loaded,hsearch,missing_user_id
search,,5890,evt_000797,searched for shoes,tablet,invalid_timestamp
,2026-06-23T16:45:34,2072,,,mobile_ios,invalid_event_type;missing_event_id
scroll,,7921,evt_000802,barely scrolling,unknown_source,missing_timestamp
remove_from_cart,2026-06-19T01:08:32,2349,,removed item from cart,mobil,missing_event_id
page_view,,54,evt_000807,landed on homepage,mobile_ios,missing_timestamp
remove_from_cart,,882,evt_000809,removed product,mobile_ios,invalid_timestamp
page_view,2026-06-15T08:48:07,6171,,,,missing_event_id
add_to_cart,,4600,evt_000815,added item to cart,desktop_app,invalid_timestamp
page_view,2026-06-15T12:44:28,2509,,opened page then immediately left,desktop_app,missing_event_id
scroll,,1633,evt_000820,fast scroll through page,,missing_timestamp
search,,2754,evt_000822,rage searched product,,missing_timestamp
page_view,2026-06-21T08:51:40,3575,evt_000831,opened page then immediately left,,duplicate_event
scroll,2026-06-20T01:04:48,3203,,"slow scroll, reading carefully",tablet,missing_event_id
page_view,2026-06-19T04:29:33,,evt_000837,viewed product page,desktop_app,missing_user_id
,2026-06-23T12:29:46,5061,,,tablet,invalid_event_type;missing_event_id
search,2026-06-17T06:42:31,7669,evt_000842,searched for shoes,web,duplicate_event
,2026-06-21T02:48:35,8169,evt_000847,search fired twice,web,missing_event_type
page_view,2026-06-16T23:43:18,,evt_000849,viewed product page,web,missing_user_id
scroll,,,evt_000850,scrolled down,web,missing_timestamp;missing_user_id
page_view,2026-06-15T12:21:32,3376,,opened pricing page,web,missing_event_id
,2026-06-21T07:02:02,1834,evt_000855,,web,missing_event_type
,2026-06-25T16:04:07,4177,evt_000868,opened pricing page,web,missing_event_type
page_view,2026-06-24T07:43:04,,evt_000870,PAGE_VIEW,mobile_ios,missing_user_id
PAGE_VIEW,2026-06-26T11:17:26,9687,evt_000873,landed on homepage,,duplicate_event
add_to_cart,2026-06-26T11:10:40,6241,,add to cart clicked,mobile_ios,missing_event_id
,2026-06-18T02:00:29,6276,evt_000887,,mobile_ios,invalid_event_type
,2026-06-15T10:44:44,16,evt_000892,,web,invalid_event_type
Search,2026-06-22T10:19:31,7243,evt_000904,search fired twice,web,duplicate_event
remove_from_cart,,8878,evt_000905,removed item from cart,,missing_timestamp
,2026-06-18T18:12:03,186,evt_000907,removed product,,missing_event_type
,,8806,evt_000910,"slow scroll, reading carefully",mobile_ios,missing_event_type;missing_timestamp
scroll,2026-06-24T02:43:07,,evt_000918,"slow scroll, reading carefully",WEB,missing_user_id
add_to_cart,2026-06-25T02:19:44,,evt_000936,add to cart clicked,mobile_ios,missing_user_id
search,2026-06-18T19:59:18,1066,,,mobile_android,missing_event_id
remove_from_cart,,4757,evt_000942,removed product,web,invalid_timestamp
page_view,2026-06-24T06:30:11,,evt_000944,opened page then immediately left,mobile_ios,missing_user_id
page_view,2026-06-25T14:57:59,412,,page refresh loop??,mobile_ios,missing_event_id
scroll,2026-06-18T16:22:39,,evt_000950,scrolled down,web,missing_user_id
page_view,2026-06-18T21:04:19,,evt_000953,viewed product page,web,missing_user_id
,2026-06-17T19:39:47,2531,evt_000955,,,missing_event_type
page_view,,1428,evt_000970,viewed product page,web,invalid_timestamp
,2026-06-16T19:39:53,,evt_000981,,web,invalid_event_type;missing_user_id
scroll,,,evt_000983,,tablet,missing_timestamp;missing_user_id
page_view,2026-06-21T08:03:30,5910,,Page loaded,web,missing_event_id
page_view,2026-06-23T00:09:40,4782,,viewed product page,hsearch,missing_event_id
add_to_cart,,2856,evt_000999,add to cart clicked,mobile_android,invalid_timestamp
,2026-06-18T01:36:25,7696,evt_001007,,unknown_source,invalid_event_type
page_view,,8351,evt_001009,viewed product page,unknown_source,missing_timestamp
page_view,,286,evt_001012,viewed product page,mobile_android,missing_timestamp
scroll,2026-06-19T03:02:17,,evt_001013,fast scroll through page,,missing_user_id
,2026-06-17T08:31:14,9710,evt_001017,viewed product page,web,missing_event_type
,2026-06-19T18:39:59,1398,evt_001019,,unknown_source,invalid_event_type
scroll,2026-06-21T01:57:59,,evt_001026,user flicked page aggresively,api_v2,missing_user_id
search,2026-06-22T10:21:30,5302,,search fired twice,unknown_source,missing_event_id
page_view,2026-06-26T05:16:41,,evt_001032,viewed product page,email,missing_user_id
purchase,,6720,evt_001036,checkout finished,mobile_ios,missing_timestamp
page_view,,5046,,opened pricing page,api_v2,invalid_timestamp;missing_event_id
scroll,2026-06-21T18:23:08,,evt_001041,scrolling endlessly,web,missing_user_id
search,2026-06-26T03:31:48,,evt_001043,searched nothing,,missing_user_id
scroll,,8310,evt_001044,barely scrolling,tablet,missing_timestamp
page_view,2026-06-18T23:24:52,9211,,landed on homepage,web,missing_event_id
,2026-06-22T22:18:40,8267,evt_001054,random search,tablet,missing_event_type
page_view,2026-06-23T10:22:03,,evt_001062,landed on homepage,WEB,missing_user_id
,2026-06-18T14:54:41,1681,evt_001063,viewed product page,web,missing_event_type
search,,2935,evt_001066,looked up return policy,mobile_ios,missing_timestamp
search,,2935,evt_001066,looked up return policy,mobile_ios,duplicate_event
remove_from_cart,,573,evt_001067,removed product,web,invalid_timestamp
,2026-06-26T17:24:22,1277,evt_001071,landed on homepage,api_v2,missing_event_type
,2026-06-22T17:26:46,417,evt_001074,landed on homepage,web,missing_event_type
,2026-06-17T01:38:32,2014,evt_001075,,desktop_app,missing_event_type
,2026-06-18T23:30:02,6903,evt_001080,,mobile_android,invalid_event_type
page_view,,7197,evt_001087,opened page then immediately left,web,missing_timestamp
search,2026-06-17T23:47:43,7269,evt_001094,rage searched product,web,duplicate_event
,2026-06-22T09:40:27,6179,evt_001095,add to cart clicked,web,missing_event_type
scroll,2026-06-24T21:01:14,,evt_001096,"slow scroll, reading carefully",web,missing_user_id
page_view,,8876,evt_001097,accidentally opened page,tablet,invalid_timestamp
add_to_cart,,9307,evt_001107,added item to cart,tablet,invalid_timestamp
page_view,2026-06-17T17:50:26,,evt_001110,opened pricing page,desktop_app,missing_user_id
scroll,2026-06-16T16:10:25,,evt_001111,scrolled down,WEB,missing_user_id
remove_from_cart,,8681,evt_001114,removed item from cart,web,invalid_timestamp
add_to_cart,2026-06-15T10:15:38,,evt_001123,added item but inventory unclear,mobile_ios,missing_user_id
remove_from_cart,2026-06-24T00:55:02,,evt_001125,removed item from cart,web,missing_user_id
page_view,2026-06-17T13:02:52,8258,evt_001128,opened pricing page,web,duplicate_event
page_view,2026-06-19T22:23:39,4206,,viewed product page,unknown_source,missing_event_id
remove_from_cart,2026-06-22T22:27:37,,evt_001139,cart item deleted,web,missing_user_id
scroll,,7511,evt_001146,scrolling endlessly,web,missing_timestamp
page_view,2026-06-17T12:05:15,1293,evt_001149,page refresh loop??,mobile_ios,duplicate_event
page_view,,9362,evt_001151,landed on homepage,desktop_app,invalid_timestamp
page_view,2026-06-22T20:32:07,,evt_001158,,,missing_user_id
Purchase,2026-06-20T18:23:32,5865,evt_001159,order placed,mobile_ios,duplicate_event
,2026-06-19T20:13:10,9044,evt_001164,added product to shopping cart,WEB,missing_event_type
scroll,2026-06-21T03:49:12,9360,,"slow scroll, reading carefully",unknown_source,missing_event_id
,2026-06-19T12:30:31,5582,evt_001169,PAGE_VIEW,WEB,missing_event_type
purchase,,529,evt_001174,,web,invalid_timestamp
search,,6352,evt_001175,search query: headphones,email,invalid_timestamp
add_to_cart,2026-06-21T05:53:31,3978,,add to cart clicked,hsearch,missing_event_id
add_to_cart,2026-06-19T06:52:34,8664,evt_001180,added product to shopping cart,mobile_ios,duplicate_event
page_view,2026-06-26T03:24:43,462,evt_001189,viewed product page,unknown_source,duplicate_event
,2026-06-22T00:59:07,6576,evt_001193,fast scroll through page,unknown_source,missing_event_type
,2026-06-24T20:00:47,,evt_001212,,tablet,missing_event_type;missing_user_id
Purchase,2026-06-22T19:50:04,7763,evt_001213,order placed,direct,duplicate_event
search,,5244,evt_001217,SEARCH EVENT,hsearch,missing_timestamp
purchase,2026-06-22T02:08:51,3265,,payment successful,mobile_ios,missing_event_id
page_view,2026-06-18T15:25:58,,evt_001223,opened page then immediately left,web,missing_user_id
scroll,2026-06-20T20:30:09,9861,,scrolled down,email,missing_event_id
search,,4181,,search query: headphones,mobile_ios,missing_timestamp;missing_event_id
page_view,2026-06-21T22:07:32,6011,,landed on homepage,web,missing_event_id
purchase,2026-06-22T11:05:30,1855,,,mobile_android,missing_event_id
,2026-06-20T16:39:54,3234,evt_001256,,web,missing_event_type
,2026-06-15T06:51:24,2784,evt_001262,,mobile_ios,invalid_event_type
purchase,2026-06-15T19:07:49,2684,,purchase completed,tablet,missing_event_id
search,2026-06-26T09:21:00,1422,,searched for shoes,web,missing_event_id
,2026-06-23T11:00:10,5947,evt_001289,removed product,web,missing_event_type
add_to_cart,2026-06-20T10:48:00,5650,evt_001291,cart updated,unknown_source,duplicate_event
page_view,2026-06-25T11:30:03,497,evt_001296,opened pricing page,mobile_ios,duplicate_event
,2026-06-16T07:25:13,9552,evt_001300,searched for shoes,web,missing_event_type
page_view,2026-06-16T14:50:33,,evt_001301,page refresh loop??,api_v2,missing_user_id
search,2026-06-24T06:33:15,3910,,searched for shoes,web,missing_event_id
search,2026-06-24T06:33:15,3910,,searched for shoes,web,duplicate_event
scroll,,1978,evt_001303,fast scroll through page,,missing_timestamp
,2026-06-20T07:24:02,4277,evt_001307,,tablet,missing_event_type
,2026-06-19T22:27:33,5337,evt_001310,,mobile_ios,invalid_event_type
remove_from_cart,,4228,evt_001311,removed item from cart,tablet,missing_timestamp
,2026-06-26T03:02:53,9687,evt_001313,,mobile_ios,invalid_event_type
,2026-06-26T03:02:53,9687,evt_001313,,mobile_ios,duplicate_event
page_view,2026-06-20T10:06:03,4597,evt_001316,landed on homepage,web,duplicate_event
page_view,,1734,evt_001332,,mobile_android,missing_timestamp
,2026-06-15T20:10:00,3351,evt_001335,barely scrolling,web,missing_event_type
page_view,,8934,evt_001336,landed on homepage,mobile_ios,missing_timestamp
add_to_cart,,9617,evt_001337,add to cart clicked,unknown_source,invalid_timestamp
,2026-06-24T22:51:33,1908,evt_001340,Page loaded,web,missing_event_type
scroll,2026-06-15T05:24:20,1402,,scrolled down,mobile_ios,missing_event_id
,,2487,evt_001345,,hsearch,invalid_event_type;missing_timestamp
,2026-06-26T13:54:57,1055,evt_001360,page refresh loop??,mobile_ios,missing_event_type
search,2026-06-16T02:53:26,7912,,search query: headphones,unknown_source,missing_event_id
,2026-06-16T11:38:06,5421,evt_001376,scrolled down,web,missing_event_type
search,,1793,evt_001379,typo in search query,web,missing_timestamp
,2026-06-25T03:58:50,5847,evt_001380,accidentally opened page,web,missing_event_type
purchase,2026-06-22T23:57:46,1374,evt_001382,checkout finished,mobile_ios,duplicate_event
,2026-06-17T00:26:45,9698,evt_001389,cart item deleted,WEB,missing_event_type
add_to_cart,2026-06-15T23:43:28,,evt_001401,added product to shopping cart,email,missing_user_id
scroll,2026-06-22T23:11:27,,evt_001405,"slow scroll, reading carefully",hsearch,missing_user_id
page_view,2026-06-22T04:19:52,,evt_001411,landed on homepage,web,missing_user_id
,2026-06-16T20:27:59,9941,evt_001412,,mobil,invalid_event_type
search,,3314,evt_001413,,hsearch,invalid_timestamp
scroll,2026-06-21T04:58:47,,evt_001420,fast scroll through page,mobile_ios,missing_user_id
,2026-06-26T09:57:15,5034,evt_001422,scroll spam,web,missing_event_type
page_view,2026-06-25T20:33:34,18,,viewed product page,desktop_app,missing_event_id
,2026-06-26T10:42:43,5240,evt_001433,landed on homepage,web,missing_event_type
,2026-06-16T04:57:42,6907,evt_001437,,direct,invalid_event_type
,2026-06-18T22:46:15,1189,evt_001438,add to cart clicked,web,missing_event_type
search,2026-06-15T22:02:39,,evt_001443,rage searched product,web,missing_user_id
,2026-06-16T02:00:45,5747,evt_001445,accidentally opened page,web,missing_event_type
,2026-06-15T11:29:15,2977,evt_001452,,mobile_ios,missing_event_type
page_view,,9682,evt_001459,landed on homepage,mobile_android,invalid_timestamp
,2026-06-23T06:52:48,2439,evt_001460,barely scrolling,web,missing_event_type
,2026-06-22T01:37:32,2628,evt_001466,,unknown_source,invalid_event_type
add_to_cart,,775,evt_001470,added then removed item quickly,web,missing_timestamp
page_view,2026-06-16T02:43:54,299,evt_001471,opened pricing page,tablet,duplicate_event
add_to_cart,,3967,evt_001472,accidental add to cart,web,invalid_timestamp
scroll,2026-06-16T16:50:18,,evt_001476,barely scrolling,email,missing_user_id
remove_from_cart,2026-06-20T08:34:18,,evt_001483,removed item from cart,tablet,missing_user_id
scroll,,8321,evt_001497,scrolling endlessly,web,missing_timestamp
,2026-06-23T07:52:51,6039,evt_001498,cart updated,mobile_ios,missing_event_type
remove_from_cart,2026-06-23T16:44:58,4796,,removed item from cart,WEB,missing_event_id
add_to_cart,2026-06-17T10:35:46,,evt_001510,add to cart clicked,unknown_source,missing_user_id
scroll,,3810,evt_001522,,WEB,invalid_timestamp
,2026-06-18T12:12:32,4628,evt_001532,,unknown_source,invalid_event_type
page_view,2026-06-26T03:58:35,1639,,landed on homepage,hsearch,missing_event_id
page_view,,1884,evt_001552,viewed product page,mobil,invalid_timestamp
